PubmedID,Title,Publication Date,Non-academic Authors,Company Affiliations,Corresponding Author Email
40079959,Artificial Intelligence-Driven All-Terrain Vehicle Crash Prediction and Prevention System.,2024 Oct 21,"Khorsandi F, De Moura Araujo G, Ferrei F",,Unknown
40079653,Multi-dimensional interpretable deep learning-radiomics based on intra-tumoral and spatial habitat for preoperative prediction of thymic epithelial tumours risk categorisation.,2025 Mar 13,"Yang Y, Cheng J, Cui C, Huang H, Cheng M, Wang J, Zuo M",,Unknown
40079572,Exploring the repository of de novo-designed bifunctional antimicrobial peptides through deep learning.,2025 Mar 13,"Dong R, Liu R, Liu Z, Liu Y, Zhao G, Li H, Hou S, Ma X, Kang H, Liu J, Guo F, Zhao P, Wang J, Wang C, Wu X, Ye S, Zhu C",,Unknown
40079556,Deep learning and robotics enabled approach for audio based emotional pragmatics deficits identification in social communication disorders.,2025 Mar 13,"Chawla M, Panda SN, Khullar V",,Unknown
40079336,Harnessing Electronic Health Records and Artificial Intelligence for Enhanced Cardiovascular Risk Prediction: A Comprehensive Review.,2025 Mar 13,"Tsai ML, Chen KF, Chen PC",,Unknown
40079266,Seq2Topt: a sequence-based deep learning predictor of enzyme optimal temperature.,2025 Mar 4,"Qiu S, Hu B, Zhao J, Xu W, Yang A",,Unknown
40079215,Thermal Adaptation of Cytosolic Malate Dehydrogenase Revealed by Deep Learning and Coevolutionary Analysis.,2025 Mar 13,"Shukla D, Martin J, Morcos F, Potoyan DA",,Unknown
40079204,Optical label-free microscopy characterization of dielectric nanoparticles.,2025 Mar 13,"García Rodríguez B, Olsén E, Skärberg F, Volpe G, Höök F, Midtvedt DS",,Unknown
40079096,A multi-objective function for deep learning-based automatic energy efficiency power allocation in multicarrier noma system using hybrid heuristic improvement.,2025 Mar 13,"Thokala C, Ghare PH",,Unknown
40078986,Impact of menopause and age on breast density and background parenchymal enhancement in dynamic contrast-enhanced magnetic resonance imaging.,2025 Nov,"Kuling G, Brooks JD, Curpen B, Warner E, Martel AL",,Unknown
